Project locations by country and geographic region based on the United Nations geopolitical scheme.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Country ,World Region ,Number of Projects,,Major World Regions
Aruba,Carribean,2,,North America
Bahamas,Carribean,1,,Carribean
Belize,Carribean,5,,Central America
Dominican Republic,Carribean,18,,South America
Haiti,Carribean,7,,Central Asia
Suriname,Carribean,1,,East Asia
Costa Rica,Central America,7,,South Asia
El Salvador,Central America,9,,South East Asia
Guatemala,Central America,29,,North Africa
Honduras,Central America,41,,Sub Saharan Africa
Nicaragua,Central America,19,,Middle East
Panama,Central America,7,,Europe
Kazakhstan,Central Asia,7,,Oceania
Russia,Central Asia,6,,International
Tajikistan,Central Asia,1,,
Turkmenistan,Central Asia,1,,
Uzbekistan,Central Asia,3,,
China,East Asia,1380,,
Mongolia,East Asia,19,,
Japan,East Asia,1,,
South Korea,East Asia,13,,
Taiwan,East Asia,10,,
Albania,Europe,1,,
Austria,Europe,1,,
Bulgaria,Europe,5,,
Denmark,Europe,1,,
Estonia,Europe,4,,
France,Europe,3,,
Germany,Europe,45,,
Greece,Europe,3,,
Iceland,Europe,2,,
Italy,Europe,12,,
Kosovo,Europe,1,,
Latvia,Europe,1,,
Lithuania,Europe,2,,
Netherlands,Europe,6,,
North Macedonia,Europe,1,,
Romania,Europe,9,,
Serbia,Europe,3,,
Spain,Europe,3,,
Switzerland,Europe,6,,
Ukraine,Europe,1,,
United Kingdom,Europe,8,,
International,International,12,,
Armenia,Middle East,1,,
Azerbaijan,Middle East,1,,
Bahrain,Middle East,1,,
Cyprus,Middle East,2,,
Georgia,Middle East,3,,
Iraq,Middle East,1,,
Israel,Middle East,5,,
Jordan,Middle East,1,,
Oman,Middle East,5,,
Saudi Arabia,Middle East,3,,
Syria,Middle East,1,,
Turkey,Middle East,544,,
United Arab Emirates,Middle East,4,,
Egypt,North Africa,14,,
Morocco,North Africa,12,,
Sudan,North Africa,5,,
Tunisia,North Africa,1,,
Canada,North America,39,,
Mexico,North America,263,,
United States,North America,1457,,
Australia,Oceania,11,,
Fiji,Oceania,2,,
New Caledonia,Oceania,1,,
New Zealand,Oceania,10,,
Papua New Guinea,Oceania,12,,
Argentina,South America,28,,
Bolivia,South America,14,,
Brazil,South America,263,,
Chile,South America,36,,
Colombia,South America,95,,
Ecuador,South America,5,,
Paraguay,South America,14,,
Peru,South America,50,,
Uruguay,South America,22,,
Bangladesh,South Asia,144,,
India,South Asia,1550,,
Nepal,South Asia,55,,
Pakistan,South Asia ,21,,
Sri Lanka,South Asia ,17,,
Cambodia,South East Asia,27,,
Indonesia,South East Asia,51,,
Laos,South East Asia,31,,
Malaysia,South East Asia,15,,
Myanmar,South East Asia,43,,
Philippines,South East Asia,18,,
Singapore,South East Asia,6,,
Thailand,South East Asia,93,,
Timor-Leste,South East Asia,5,,
Vietnam,South East Asia,124,,
Angola,Sub Saharan Africa,5,,
Benin,Sub Saharan Africa,11,,
Botswana,Sub Saharan Africa,1,,
Burkina Faso,Sub Saharan Africa,87,,
Burundi,Sub Saharan Africa,13,,
Cameroon,Sub Saharan Africa,11,,
Central African Republic,Sub Saharan Africa,5,,
Chad,Sub Saharan Africa,6,,
Comoros,Sub Saharan Africa,4,,
C̫te d'Ivoire,Sub Saharan Africa,9,,
Djibouti,Sub Saharan Africa,2,,
DRC,Sub Saharan Africa,33,,
Eritrea,Sub Saharan Africa,45,,
Ethiopia,Sub Saharan Africa,67,,
Gabon,Sub Saharan Africa,1,,
Gambia,Sub Saharan Africa,10,,
Ghana,Sub Saharan Africa,29,,
Guinea,Sub Saharan Africa,4,,
Guinea-Bissau,Sub Saharan Africa,1,,
Kenya,Sub Saharan Africa,263,,
Lesotho,Sub Saharan Africa,4,,
Liberia,Sub Saharan Africa,2,,
Madagascar,Sub Saharan Africa,102,,
Malawi,Sub Saharan Africa,118,,
Mali,Sub Saharan Africa,10,,
Mauritania,Sub Saharan Africa,2,,
Mauritius,Sub Saharan Africa,4,,
Mayotte,Sub Saharan Africa,1,,
Mozambique,Sub Saharan Africa,61,,
Namibia,Sub Saharan Africa,6,,
Niger,Sub Saharan Africa,2,,
Nigeria,Sub Saharan Africa,60,,
Republic of Congo,Sub Saharan Africa,5,,
Rwanda,Sub Saharan Africa,196,,
Senegal,Sub Saharan Africa,22,,
Sierra Leone,Sub Saharan Africa,25,,
Somalia,Sub Saharan Africa,2,,
South Africa,Sub Saharan Africa,95,,
Tanzania,Sub Saharan Africa,46,,
Togo,Sub Saharan Africa,32,,
Uganda,Sub Saharan Africa,227,,
Zambia,Sub Saharan Africa,62,,
Zimbabwe,Sub Saharan Africa,25,,
